tourney_name,tourney_date,tourney_level,surface,draw_size,round,best_of,minutes,score,player_name,player_rank,player_rank_points,player_age,opponent_rank,opponent_rank_points,win,rank_diff,match_load_7,match_load_14,fatigue_score_7,fatigue_score_14
Doha,2023-02-20,A,Hard,32,R32,3,110.0,6-3 3-6 6-4,Abedallah Shelbayh,276.0,190.0,19.2,68.0,764.0,0,208.0,0,0,0.0,0.0
Banja Luka,2023-04-17,A,Clay,32,R32,3,91.0,6-1 7-5,Abedallah Shelbayh,267.0,201.0,19.4,139.0,419.0,1,128.0,0,0,0.0,0.0
Banja Luka,2023-04-17,A,Clay,32,R16,3,124.0,6-4 7-6(4),Abedallah Shelbayh,267.0,201.0,19.4,33.0,1125.0,0,234.0,1,1,0.1,0.06666666666666667
Madrid Masters,2023-04-24,M,Clay,128,R128,3,83.0,6-1 6-4,Abedallah Shelbayh,243.0,233.0,19.4,67.0,767.0,0,176.0,2,2,0.2,0.13333333333333333
Mallorca,2023-06-26,A,Grass,32,R32,3,74.0,6-1 6-4,Abedallah Shelbayh,240.0,238.0,19.6,94.0,631.0,0,146.0,0,0,0.0,0.0
Newport,2023-07-17,A,Grass,32,R32,3,88.0,6-3 6-4,Abedallah Shelbayh,240.0,249.0,19.6,116.0,556.0,0,124.0,0,0,0.0,0.0
Metz,2023-11-06,A,Hard,32,R32,3,111.0,7-6(5) 6-2,Abedallah Shelbayh,215.0,294.0,19.9,83.0,701.0,1,132.0,0,0,0.0,0.0
Metz,2023-11-06,A,Hard,32,R16,3,93.0,6-3 7-5,Abedallah Shelbayh,215.0,294.0,19.9,49.0,955.0,0,166.0,1,1,0.1,0.06666666666666667
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,67.0,4-2 1-4 4-0 4-0,Abedallah Shelbayh,185.0,326.0,20.0,97.0,653.0,1,88.0,0,0,0.0,0.0
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,114.0,4-3(5) 3-4(5) 4-1 4-1,Abedallah Shelbayh,185.0,326.0,20.0,70.0,756.0,0,115.0,1,1,0.1,0.06666666666666667
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,92.0,3-4(6) 4-2 4-3(5) 4-2,Abedallah Shelbayh,185.0,326.0,20.0,110.0,582.0,0,75.0,2,2,0.2,0.13333333333333333
Doha,2024-02-19,A,Hard,32,R32,3,120.0,3-6 6-3 6-4,Abedallah Shelbayh,230.0,265.0,20.2,46.0,997.0,0,184.0,0,0,0.0,0.0
